,Year,Nation,DEG_URB,LEVELS,SEX,AGE,Percentage
34272,2017,Belgium,Cities,Very good,Males,From 16 to 24 years,61.0
34273,2017,Belgium,Cities,Very good,Males,From 25 to 29 years,54.8
34274,2017,Belgium,Cities,Very good,Males,From 25 to 34 years,47.3
34275,2017,Belgium,Cities,Very good,Males,From 35 to 44 years,38.4
34276,2017,Belgium,Cities,Very good,Males,From 45 to 54 years,24.7
34277,2017,Belgium,Cities,Very good,Males,From 45 to 64 years,23.1
34278,2017,Belgium,Cities,Very good,Males,From 55 to 64 years,21.2
34279,2017,Belgium,Cities,Very good,Males,From 65 to 74 years,11.7
34280,2017,Belgium,Cities,Very good,Males,65 years or over,9.8
34281,2017,Belgium,Cities,Very good,Males,From 75 to 84 years,9.6
34282,2017,Belgium,Cities,Very good,Males,75 years or over,7.4
34283,2017,Belgium,Cities,Very good,Males,85 years or over,0
34284,2017,Belgium,Cities,Very good,Females,From 16 to 24 years,51.0
34285,2017,Belgium,Cities,Very good,Females,From 25 to 29 years,43.1
34286,2017,Belgium,Cities,Very good,Females,From 25 to 34 years,41.5
34287,2017,Belgium,Cities,Very good,Females,From 35 to 44 years,32.5
34288,2017,Belgium,Cities,Very good,Females,From 45 to 54 years,20.1
34289,2017,Belgium,Cities,Very good,Females,From 45 to 64 years,17.8
34290,2017,Belgium,Cities,Very good,Females,From 55 to 64 years,15.4
34291,2017,Belgium,Cities,Very good,Females,From 65 to 74 years,13.2
34292,2017,Belgium,Cities,Very good,Females,65 years or over,9.2
34293,2017,Belgium,Cities,Very good,Females,From 75 to 84 years,6.2
34294,2017,Belgium,Cities,Very good,Females,75 years or over,5.4
34295,2017,Belgium,Cities,Very good,Females,85 years or over,3.5
34296,2017,Belgium,Cities,Good,Males,From 16 to 24 years,29.7
34297,2017,Belgium,Cities,Good,Males,From 25 to 29 years,35.9
34298,2017,Belgium,Cities,Good,Males,From 25 to 34 years,40.7
34299,2017,Belgium,Cities,Good,Males,From 35 to 44 years,46.6
34300,2017,Belgium,Cities,Good,Males,From 45 to 54 years,44.5
34301,2017,Belgium,Cities,Good,Males,From 45 to 64 years,46.8
34302,2017,Belgium,Cities,Good,Males,From 55 to 64 years,49.7
34303,2017,Belgium,Cities,Good,Males,From 65 to 74 years,51.6
34304,2017,Belgium,Cities,Good,Males,65 years or over,48.5
34305,2017,Belgium,Cities,Good,Males,From 75 to 84 years,45.2
34306,2017,Belgium,Cities,Good,Males,75 years or over,44.9
34307,2017,Belgium,Cities,Good,Males,85 years or over,43.9
34308,2017,Belgium,Cities,Good,Females,From 16 to 24 years,40.5
34309,2017,Belgium,Cities,Good,Females,From 25 to 29 years,44.1
34310,2017,Belgium,Cities,Good,Females,From 25 to 34 years,44.4
34311,2017,Belgium,Cities,Good,Females,From 35 to 44 years,40.2
34312,2017,Belgium,Cities,Good,Females,From 45 to 54 years,43.5
34313,2017,Belgium,Cities,Good,Females,From 45 to 64 years,43.5
34314,2017,Belgium,Cities,Good,Females,From 55 to 64 years,43.5
34315,2017,Belgium,Cities,Good,Females,From 65 to 74 years,50.5
34316,2017,Belgium,Cities,Good,Females,65 years or over,41.2
34317,2017,Belgium,Cities,Good,Females,From 75 to 84 years,36.3
34318,2017,Belgium,Cities,Good,Females,75 years or over,32.3
34319,2017,Belgium,Cities,Good,Females,85 years or over,22.5
34320,2017,Belgium,Cities,Very good or good,Males,From 16 to 24 years,90.7
34321,2017,Belgium,Cities,Very good or good,Males,From 25 to 29 years,90.8
34322,2017,Belgium,Cities,Very good or good,Males,From 25 to 34 years,87.9
34323,2017,Belgium,Cities,Very good or good,Males,From 35 to 44 years,85.0
34324,2017,Belgium,Cities,Very good or good,Males,From 45 to 54 years,69.2
34325,2017,Belgium,Cities,Very good or good,Males,From 45 to 64 years,69.9
34326,2017,Belgium,Cities,Very good or good,Males,From 55 to 64 years,70.9
34327,2017,Belgium,Cities,Very good or good,Males,From 65 to 74 years,63.3
34328,2017,Belgium,Cities,Very good or good,Males,65 years or over,58.3
34329,2017,Belgium,Cities,Very good or good,Males,From 75 to 84 years,54.8
34330,2017,Belgium,Cities,Very good or good,Males,75 years or over,52.3
34331,2017,Belgium,Cities,Very good or good,Males,85 years or over,43.9
34332,2017,Belgium,Cities,Very good or good,Females,From 16 to 24 years,91.6
34333,2017,Belgium,Cities,Very good or good,Females,From 25 to 29 years,87.1
34334,2017,Belgium,Cities,Very good or good,Females,From 25 to 34 years,85.9
34335,2017,Belgium,Cities,Very good or good,Females,From 35 to 44 years,72.7
34336,2017,Belgium,Cities,Very good or good,Females,From 45 to 54 years,63.6
34337,2017,Belgium,Cities,Very good or good,Females,From 45 to 64 years,61.3
34338,2017,Belgium,Cities,Very good or good,Females,From 55 to 64 years,58.9
34339,2017,Belgium,Cities,Very good or good,Females,From 65 to 74 years,63.7
34340,2017,Belgium,Cities,Very good or good,Females,65 years or over,50.4
34341,2017,Belgium,Cities,Very good or good,Females,From 75 to 84 years,42.6
34342,2017,Belgium,Cities,Very good or good,Females,75 years or over,37.7
34343,2017,Belgium,Cities,Very good or good,Females,85 years or over,26.0
34344,2017,Belgium,Cities,Fair,Males,From 16 to 24 years,7.4
34345,2017,Belgium,Cities,Fair,Males,From 25 to 29 years,4.7
34346,2017,Belgium,Cities,Fair,Males,From 25 to 34 years,6.1
34347,2017,Belgium,Cities,Fair,Males,From 35 to 44 years,7.0
34348,2017,Belgium,Cities,Fair,Males,From 45 to 54 years,21.0
34349,2017,Belgium,Cities,Fair,Males,From 45 to 64 years,21.0
34350,2017,Belgium,Cities,Fair,Males,From 55 to 64 years,20.9
34351,2017,Belgium,Cities,Fair,Males,From 65 to 74 years,22.6
34352,2017,Belgium,Cities,Fair,Males,65 years or over,26.8
34353,2017,Belgium,Cities,Fair,Males,From 75 to 84 years,31.5
34354,2017,Belgium,Cities,Fair,Males,75 years or over,31.9
34355,2017,Belgium,Cities,Fair,Males,85 years or over,33.2
34356,2017,Belgium,Cities,Fair,Females,From 16 to 24 years,6.5
34357,2017,Belgium,Cities,Fair,Females,From 25 to 29 years,7.2
34358,2017,Belgium,Cities,Fair,Females,From 25 to 34 years,8.6
34359,2017,Belgium,Cities,Fair,Females,From 35 to 44 years,19.6
34360,2017,Belgium,Cities,Fair,Females,From 45 to 54 years,21.5
34361,2017,Belgium,Cities,Fair,Females,From 45 to 64 years,23.1
34362,2017,Belgium,Cities,Fair,Females,From 55 to 64 years,24.7
34363,2017,Belgium,Cities,Fair,Females,From 65 to 74 years,25.5
34364,2017,Belgium,Cities,Fair,Females,65 years or over,32.3
34365,2017,Belgium,Cities,Fair,Females,From 75 to 84 years,37.5
34366,2017,Belgium,Cities,Fair,Females,75 years or over,38.9
34367,2017,Belgium,Cities,Fair,Females,85 years or over,42.1
34368,2017,Belgium,Cities,Bad,Males,From 16 to 24 years,1.9
34369,2017,Belgium,Cities,Bad,Males,From 25 to 29 years,4.5
34370,2017,Belgium,Cities,Bad,Males,From 25 to 34 years,5.9
34371,2017,Belgium,Cities,Bad,Males,From 35 to 44 years,6.1
34372,2017,Belgium,Cities,Bad,Males,From 45 to 54 years,8.9
34373,2017,Belgium,Cities,Bad,Males,From 45 to 64 years,7.8
34374,2017,Belgium,Cities,Bad,Males,From 55 to 64 years,6.4
34375,2017,Belgium,Cities,Bad,Males,From 65 to 74 years,12.8
34376,2017,Belgium,Cities,Bad,Males,65 years or over,13.1
34377,2017,Belgium,Cities,Bad,Males,From 75 to 84 years,11.6
34378,2017,Belgium,Cities,Bad,Males,75 years or over,13.4
34379,2017,Belgium,Cities,Bad,Males,85 years or over,19.7
34380,2017,Belgium,Cities,Bad,Females,From 16 to 24 years,1.3
34381,2017,Belgium,Cities,Bad,Females,From 25 to 29 years,5.7
34382,2017,Belgium,Cities,Bad,Females,From 25 to 34 years,5.5
34383,2017,Belgium,Cities,Bad,Females,From 35 to 44 years,6.8
34384,2017,Belgium,Cities,Bad,Females,From 45 to 54 years,12.7
34385,2017,Belgium,Cities,Bad,Females,From 45 to 64 years,13.4
34386,2017,Belgium,Cities,Bad,Females,From 55 to 64 years,14.1
34387,2017,Belgium,Cities,Bad,Females,From 65 to 74 years,8.9
34388,2017,Belgium,Cities,Bad,Females,65 years or over,14.5
34389,2017,Belgium,Cities,Bad,Females,From 75 to 84 years,18.6
34390,2017,Belgium,Cities,Bad,Females,75 years or over,19.8
34391,2017,Belgium,Cities,Bad,Females,85 years or over,22.5
34392,2017,Belgium,Cities,Very bad,Males,From 16 to 24 years,0.0
34393,2017,Belgium,Cities,Very bad,Males,From 25 to 29 years,0.0
34394,2017,Belgium,Cities,Very bad,Males,From 25 to 34 years,0.0
34395,2017,Belgium,Cities,Very bad,Males,From 35 to 44 years,1.9
34396,2017,Belgium,Cities,Very bad,Males,From 45 to 54 years,0.9
34397,2017,Belgium,Cities,Very bad,Males,From 45 to 64 years,1.3
34398,2017,Belgium,Cities,Very bad,Males,From 55 to 64 years,1.8
34399,2017,Belgium,Cities,Very bad,Males,From 65 to 74 years,1.3
34400,2017,Belgium,Cities,Very bad,Males,65 years or over,1.8
34401,2017,Belgium,Cities,Very bad,Males,From 75 to 84 years,2.1
34402,2017,Belgium,Cities,Very bad,Males,75 years or over,2.4
34403,2017,Belgium,Cities,Very bad,Males,85 years or over,3.2
34404,2017,Belgium,Cities,Very bad,Females,From 16 to 24 years,0.6
34405,2017,Belgium,Cities,Very bad,Females,From 25 to 29 years,0.0
34406,2017,Belgium,Cities,Very bad,Females,From 25 to 34 years,0.0
34407,2017,Belgium,Cities,Very bad,Females,From 35 to 44 years,1.0
34408,2017,Belgium,Cities,Very bad,Females,From 45 to 54 years,2.1
34409,2017,Belgium,Cities,Very bad,Females,From 45 to 64 years,2.2
34410,2017,Belgium,Cities,Very bad,Females,From 55 to 64 years,2.3
34411,2017,Belgium,Cities,Very bad,Females,From 65 to 74 years,1.9
34412,2017,Belgium,Cities,Very bad,Females,65 years or over,2.8
34413,2017,Belgium,Cities,Very bad,Females,From 75 to 84 years,1.3
34414,2017,Belgium,Cities,Very bad,Females,75 years or over,3.7
34415,2017,Belgium,Cities,Very bad,Females,85 years or over,9.3
34416,2017,Belgium,Cities,Bad or very bad,Males,From 16 to 24 years,1.9
34417,2017,Belgium,Cities,Bad or very bad,Males,From 25 to 29 years,4.5
34418,2017,Belgium,Cities,Bad or very bad,Males,From 25 to 34 years,5.9
34419,2017,Belgium,Cities,Bad or very bad,Males,From 35 to 44 years,8.0
34420,2017,Belgium,Cities,Bad or very bad,Males,From 45 to 54 years,9.8
34421,2017,Belgium,Cities,Bad or very bad,Males,From 45 to 64 years,9.1
34422,2017,Belgium,Cities,Bad or very bad,Males,From 55 to 64 years,8.2
34423,2017,Belgium,Cities,Bad or very bad,Males,From 65 to 74 years,14.1
34424,2017,Belgium,Cities,Bad or very bad,Males,65 years or over,14.9
34425,2017,Belgium,Cities,Bad or very bad,Males,From 75 to 84 years,13.7
34426,2017,Belgium,Cities,Bad or very bad,Males,75 years or over,15.8
34427,2017,Belgium,Cities,Bad or very bad,Males,85 years or over,22.9
34428,2017,Belgium,Cities,Bad or very bad,Females,From 16 to 24 years,1.9
34429,2017,Belgium,Cities,Bad or very bad,Females,From 25 to 29 years,5.7
34430,2017,Belgium,Cities,Bad or very bad,Females,From 25 to 34 years,5.5
34431,2017,Belgium,Cities,Bad or very bad,Females,From 35 to 44 years,7.7
34432,2017,Belgium,Cities,Bad or very bad,Females,From 45 to 54 years,14.8
34433,2017,Belgium,Cities,Bad or very bad,Females,From 45 to 64 years,15.6
34434,2017,Belgium,Cities,Bad or very bad,Females,From 55 to 64 years,16.4
34435,2017,Belgium,Cities,Bad or very bad,Females,From 65 to 74 years,10.8
34436,2017,Belgium,Cities,Bad or very bad,Females,65 years or over,17.3
34437,2017,Belgium,Cities,Bad or very bad,Females,From 75 to 84 years,19.9
34438,2017,Belgium,Cities,Bad or very bad,Females,75 years or over,23.5
34439,2017,Belgium,Cities,Bad or very bad,Females,85 years or over,31.9
34440,2017,Belgium,Towns and suburbs,Very good,Males,From 16 to 24 years,56.7
34441,2017,Belgium,Towns and suburbs,Very good,Males,From 25 to 29 years,43.4
34442,2017,Belgium,Towns and suburbs,Very good,Males,From 25 to 34 years,45.6
34443,2017,Belgium,Towns and suburbs,Very good,Males,From 35 to 44 years,38.3
34444,2017,Belgium,Towns and suburbs,Very good,Males,From 45 to 54 years,27.5
34445,2017,Belgium,Towns and suburbs,Very good,Males,From 45 to 64 years,21.9
34446,2017,Belgium,Towns and suburbs,Very good,Males,From 55 to 64 years,16.2
34447,2017,Belgium,Towns and suburbs,Very good,Males,From 65 to 74 years,15.1
