,Year,Nation,DEG_URB,SEX,AGE,Mean income
2448,2017,Belgium,Cities,Males,Less than 18 years,"21,131"
2449,2017,Belgium,Cities,Males,From 18 to 64 years,"24,516"
2450,2017,Belgium,Cities,Males,18 years or over,"23,960"
2451,2017,Belgium,Cities,Males,60 years or over,"23,186"
2452,2017,Belgium,Cities,Males,65 years or over,"21,287"
2453,2017,Belgium,Cities,Males,75 years or over,"20,437"
2454,2017,Belgium,Cities,Females,Less than 18 years,"21,298"
2455,2017,Belgium,Cities,Females,From 18 to 64 years,"22,793"
2456,2017,Belgium,Cities,Females,18 years or over,"22,215"
2457,2017,Belgium,Cities,Females,60 years or over,"20,574"
2458,2017,Belgium,Cities,Females,65 years or over,"20,231"
2459,2017,Belgium,Cities,Females,75 years or over,"19,845"
2460,2017,Belgium,Towns and suburbs,Males,Less than 18 years,"25,118"
2461,2017,Belgium,Towns and suburbs,Males,From 18 to 64 years,"27,936"
2462,2017,Belgium,Towns and suburbs,Males,18 years or over,"26,598"
2463,2017,Belgium,Towns and suburbs,Males,60 years or over,"23,421"
2464,2017,Belgium,Towns and suburbs,Males,65 years or over,"21,883"
2465,2017,Belgium,Towns and suburbs,Males,75 years or over,"19,837"
2466,2017,Belgium,Towns and suburbs,Females,Less than 18 years,"24,068"
2467,2017,Belgium,Towns and suburbs,Females,From 18 to 64 years,"26,460"
2468,2017,Belgium,Towns and suburbs,Females,18 years or over,"24,960"
2469,2017,Belgium,Towns and suburbs,Females,60 years or over,"21,398"
2470,2017,Belgium,Towns and suburbs,Females,65 years or over,"20,546"
2471,2017,Belgium,Towns and suburbs,Females,75 years or over,"19,001"
2472,2017,Belgium,Rural areas,Males,Less than 18 years,"23,584"
2473,2017,Belgium,Rural areas,Males,From 18 to 64 years,"25,195"
2474,2017,Belgium,Rural areas,Males,18 years or over,"24,052"
2475,2017,Belgium,Rural areas,Males,60 years or over,"21,153"
2476,2017,Belgium,Rural areas,Males,65 years or over,"19,724"
2477,2017,Belgium,Rural areas,Males,75 years or over,"18,435"
2478,2017,Belgium,Rural areas,Females,Less than 18 years,"23,678"
2479,2017,Belgium,Rural areas,Females,From 18 to 64 years,"24,523"
2480,2017,Belgium,Rural areas,Females,18 years or over,"23,196"
2481,2017,Belgium,Rural areas,Females,60 years or over,"20,014"
2482,2017,Belgium,Rural areas,Females,65 years or over,"18,992"
2483,2017,Belgium,Rural areas,Females,75 years or over,"17,753"
2484,2017,Bulgaria,Cities,Males,Less than 18 years,"5,594"
2485,2017,Bulgaria,Cities,Males,From 18 to 64 years,"6,462"
2486,2017,Bulgaria,Cities,Males,18 years or over,"6,187"
2487,2017,Bulgaria,Cities,Males,60 years or over,"5,581"
2488,2017,Bulgaria,Cities,Males,65 years or over,"4,924"
2489,2017,Bulgaria,Cities,Males,75 years or over,"3,681"
2490,2017,Bulgaria,Cities,Females,Less than 18 years,"5,264"
2491,2017,Bulgaria,Cities,Females,From 18 to 64 years,"6,259"
2492,2017,Bulgaria,Cities,Females,18 years or over,"5,647"
2493,2017,Bulgaria,Cities,Females,60 years or over,"4,216"
2494,2017,Bulgaria,Cities,Females,65 years or over,"3,714"
2495,2017,Bulgaria,Cities,Females,75 years or over,"3,028"
2496,2017,Bulgaria,Towns and suburbs,Males,Less than 18 years,"3,928"
2497,2017,Bulgaria,Towns and suburbs,Males,From 18 to 64 years,"4,499"
2498,2017,Bulgaria,Towns and suburbs,Males,18 years or over,"4,328"
2499,2017,Bulgaria,Towns and suburbs,Males,60 years or over,"3,940"
2500,2017,Bulgaria,Towns and suburbs,Males,65 years or over,"3,574"
2501,2017,Bulgaria,Towns and suburbs,Males,75 years or over,"3,069"
2502,2017,Bulgaria,Towns and suburbs,Females,Less than 18 years,"3,590"
2503,2017,Bulgaria,Towns and suburbs,Females,From 18 to 64 years,"4,585"
2504,2017,Bulgaria,Towns and suburbs,Females,18 years or over,"4,104"
2505,2017,Bulgaria,Towns and suburbs,Females,60 years or over,"3,326"
2506,2017,Bulgaria,Towns and suburbs,Females,65 years or over,"2,784"
2507,2017,Bulgaria,Towns and suburbs,Females,75 years or over,"2,487"
2508,2017,Bulgaria,Rural areas,Males,Less than 18 years,"2,833"
2509,2017,Bulgaria,Rural areas,Males,From 18 to 64 years,"3,489"
2510,2017,Bulgaria,Rural areas,Males,18 years or over,"3,424"
2511,2017,Bulgaria,Rural areas,Males,60 years or over,"3,446"
2512,2017,Bulgaria,Rural areas,Males,65 years or over,"3,247"
2513,2017,Bulgaria,Rural areas,Males,75 years or over,"2,850"
2514,2017,Bulgaria,Rural areas,Females,Less than 18 years,"2,680"
2515,2017,Bulgaria,Rural areas,Females,From 18 to 64 years,"3,576"
2516,2017,Bulgaria,Rural areas,Females,18 years or over,"3,317"
2517,2017,Bulgaria,Rural areas,Females,60 years or over,"3,060"
2518,2017,Bulgaria,Rural areas,Females,65 years or over,"2,867"
2519,2017,Bulgaria,Rural areas,Females,75 years or over,"2,744"
2520,2017,Czechia,Cities,Males,Less than 18 years,"9,648"
2521,2017,Czechia,Cities,Males,From 18 to 64 years,"10,953"
2522,2017,Czechia,Cities,Males,18 years or over,"10,404"
2523,2017,Czechia,Cities,Males,60 years or over,"9,112"
2524,2017,Czechia,Cities,Males,65 years or over,"8,323"
2525,2017,Czechia,Cities,Males,75 years or over,"7,429"
2526,2017,Czechia,Cities,Females,Less than 18 years,"9,723"
2527,2017,Czechia,Cities,Females,From 18 to 64 years,"10,411"
2528,2017,Czechia,Cities,Females,18 years or over,"9,604"
2529,2017,Czechia,Cities,Females,60 years or over,"7,765"
2530,2017,Czechia,Cities,Females,65 years or over,"7,397"
2531,2017,Czechia,Cities,Females,75 years or over,"6,715"
2532,2017,Czechia,Towns and suburbs,Males,Less than 18 years,"8,670"
2533,2017,Czechia,Towns and suburbs,Males,From 18 to 64 years,"9,694"
2534,2017,Czechia,Towns and suburbs,Males,18 years or over,"9,220"
2535,2017,Czechia,Towns and suburbs,Males,60 years or over,"7,999"
2536,2017,Czechia,Towns and suburbs,Males,65 years or over,"7,424"
2537,2017,Czechia,Towns and suburbs,Males,75 years or over,"6,985"
2538,2017,Czechia,Towns and suburbs,Females,Less than 18 years,"8,552"
2539,2017,Czechia,Towns and suburbs,Females,From 18 to 64 years,"9,285"
2540,2017,Czechia,Towns and suburbs,Females,18 years or over,"8,620"
2541,2017,Czechia,Towns and suburbs,Females,60 years or over,"7,360"
2542,2017,Czechia,Towns and suburbs,Females,65 years or over,"6,759"
2543,2017,Czechia,Towns and suburbs,Females,75 years or over,"6,326"
2544,2017,Czechia,Rural areas,Males,Less than 18 years,"9,053"
2545,2017,Czechia,Rural areas,Males,From 18 to 64 years,"9,985"
2546,2017,Czechia,Rural areas,Males,18 years or over,"9,519"
2547,2017,Czechia,Rural areas,Males,60 years or over,"8,171"
2548,2017,Czechia,Rural areas,Males,65 years or over,"7,590"
2549,2017,Czechia,Rural areas,Males,75 years or over,"7,061"
2550,2017,Czechia,Rural areas,Females,Less than 18 years,"8,743"
2551,2017,Czechia,Rural areas,Females,From 18 to 64 years,"9,505"
2552,2017,Czechia,Rural areas,Females,18 years or over,"8,911"
2553,2017,Czechia,Rural areas,Females,60 years or over,"7,463"
2554,2017,Czechia,Rural areas,Females,65 years or over,"6,981"
2555,2017,Czechia,Rural areas,Females,75 years or over,"6,556"
2556,2017,Denmark,Cities,Males,Less than 18 years,"33,372"
2557,2017,Denmark,Cities,Males,From 18 to 64 years,"32,998"
2558,2017,Denmark,Cities,Males,18 years or over,"32,955"
2559,2017,Denmark,Cities,Males,60 years or over,"34,329"
2560,2017,Denmark,Cities,Males,65 years or over,"32,727"
2561,2017,Denmark,Cities,Males,75 years or over,"30,005"
2562,2017,Denmark,Cities,Females,Less than 18 years,"38,466"
2563,2017,Denmark,Cities,Females,From 18 to 64 years,"32,597"
