"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","Belgium","Tonne","64,080",""
"2015","Bulgaria","Tonne","37,260",""
"2015","Czechia","Tonne","100,030",""
"2015","Denmark","Tonne","64,220",""
"2015","Germany (until 1990 former territory of the FRG)","Tonne","547,780",""
"2015","Estonia","Tonne","9,174",""
"2015","Ireland","Tonne","118,040",""
"2015","Greece","Tonne","57,380",""
"2015","Spain","Tonne","431,220",""
"2015","France","Tonne","570,710",""
"2015","Croatia","Tonne","30,780",""
"2015","Italy","Tonne","334,290",""
"2015","Cyprus","Tonne","7,792",""
"2015","Latvia","Tonne","14,442",""
"2015","Lithuania","Tonne","34,515",""
"2015","Luxembourg","Tonne","5,008",""
"2015","Hungary","Tonne","70,585",""
"2015","Malta","Tonne","1,287",""
"2015","Netherlands","Tonne","116,013",""
"2015","Austria","Tonne","58,560",""
"2015","Poland","Tonne","285,730",""
"2015","Portugal","Tonne","47,440",""
"2015","Romania","Tonne","168,700",""
"2015","Slovenia","Tonne","16,840",""
"2015","Finland","Tonne","29,986",""
"2015","Sweden","Tonne","46,300",""
"2015","Iceland","Tonne","4,591",""
"2015","Liechtenstein","Tonne","194",""
"2015","Norway","Tonne","27,360",""
"2015","Switzerland","Tonne","51,060",""
"2016","Belgium","Tonne","63,900",""
"2016","Bulgaria","Tonne","38,150",""
"2016","Czechia","Tonne","82,870",""
"2016","Denmark","Tonne","64,480",""
"2016","Germany (until 1990 former territory of the FRG)","Tonne","545,840",""
"2016","Estonia","Tonne","8,903",""
"2016","Ireland","Tonne","123,400",""
"2016","Greece","Tonne","57,560",""
"2016","Spain","Tonne","436,250",""
"2016","France","Tonne","568,990",""
"2016","Croatia","Tonne","29,420",""
"2016","Italy","Tonne","346,450",""
"2016","Cyprus","Tonne","8,052",""
"2016","Latvia","Tonne","14,680",""
"2016","Lithuania","Tonne","33,685",""
"2016","Luxembourg","Tonne","5,038",""
"2016","Hungary","Tonne","71,497",""
"2016","Malta","Tonne","1,198",""
"2016","Netherlands","Tonne","114,412",""
"2016","Austria","Tonne","59,520",""
"2016","Poland","Tonne","286,330",""
"2016","Portugal","Tonne","48,240",""
"2016","Romania","Tonne","164,010",""
"2016","Slovenia","Tonne","17,050",""
"2016","Finland","Tonne","29,676",""
"2016","Sweden","Tonne","45,180",""
"2016","Iceland","Tonne","4,640",""
"2016","Liechtenstein","Tonne","194",""
"2016","Norway","Tonne","27,440",""
"2016","Switzerland","Tonne","50,840",""
"2017","Belgium","Tonne","62,240",""
"2017","Bulgaria","Tonne","37,130",""
"2017","Czechia","Tonne","78,890",""
"2017","Denmark","Tonne","67,330",""
"2017","Germany (until 1990 former territory of the FRG)","Tonne","533,390",""
"2017","Estonia","Tonne","9,083",""
"2017","Ireland","Tonne","127,300",""
"2017","Greece","Tonne","56,980",""
"2017","Spain","Tonne","453,710",""
"2017","France","Tonne","565,930",""
"2017","Croatia","Tonne","32,390",""
"2017","Italy","Tonne","337,550",""
"2017","Cyprus","Tonne","8,104",""
"2017","Latvia","Tonne","15,082",""
"2017","Lithuania","Tonne","33,655",""
"2017","Luxembourg","Tonne","5,158",""
"2017","Hungary","Tonne","72,359",""
"2017","Malta","Tonne","1,168",""
"2017","Netherlands","Tonne","116,432",""
"2017","Austria","Tonne","60,290",""
"2017","Poland","Tonne","300,980",""
"2017","Portugal","Tonne","48,330",""
"2017","Romania","Tonne","161,190",""
"2017","Slovenia","Tonne","16,770",""
"2017","Finland","Tonne","28,836",""
