"TIME","GEO","UNIT","INDIC_IL","DEG_URB","SEX","AGE","Value","Flag and Footnotes"
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","Less than 18 years","20,859",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","From 18 to 64 years","24,077",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","18 years or over","23,960",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","60 years or over","23,933",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","65 years or over","23,411",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Males","75 years or over","22,191",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","Less than 18 years","20,652",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","From 18 to 64 years","22,857",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","18 years or over","22,256",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","60 years or over","20,869",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","65 years or over","20,119",""
"2015","Belgium","Euro","Mean equivalised net income","Cities","Females","75 years or over","18,763",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","Less than 18 years","23,389",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","From 18 to 64 years","26,414",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","18 years or over","25,507",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","60 years or over","22,952",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","65 years or over","22,137",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Males","75 years or over","18,496",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","Less than 18 years","22,991",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","From 18 to 64 years","25,315",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","18 years or over","23,827",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","60 years or over","20,279",""
"2015","Belgium","Euro","Mean equivalised net income","Towns and suburbs","Females","65 years or over","19,281",""
