"TIME","GEO","AIRPOL","Value","Flag and Footnotes"
"2015","Belgium","Particulates < 2.5µm","13.5",""
"2015","Belgium","Particulates < 10µm","21.4",""
"2015","Bulgaria","Particulates < 2.5µm","25",""
"2015","Bulgaria","Particulates < 10µm","36.2",""
"2015","Czechia","Particulates < 2.5µm","17.4",""
"2015","Czechia","Particulates < 10µm","24.3",""
"2015","Denmark","Particulates < 2.5µm","11.3",""
"2015","Denmark","Particulates < 10µm","18.3",""
"2015","Germany (until 1990 former territory of the FRG)","Particulates < 2.5µm","13.4",""
"2015","Germany (until 1990 former territory of the FRG)","Particulates < 10µm","18.9",""
"2015","Estonia","Particulates < 2.5µm","6.7",""
"2015","Estonia","Particulates < 10µm","13.4",""
"2015","Ireland","Particulates < 2.5µm","8",""
"2015","Ireland","Particulates < 10µm","13.2",""
"2015","Greece","Particulates < 2.5µm","16.4",""
"2015","Greece","Particulates < 10µm","26.5",""
"2015","Spain","Particulates < 2.5µm","13",""
"2015","Spain","Particulates < 10µm","23.5",""
"2015","France","Particulates < 2.5µm","13.5",""
"2015","France","Particulates < 10µm","20.5",""
"2015","Croatia","Particulates < 2.5µm","21.9",""
"2015","Croatia","Particulates < 10µm","33.1",""
"2015","Italy","Particulates < 2.5µm","22",""
"2015","Italy","Particulates < 10µm","32.7",""
"2015","Cyprus","Particulates < 2.5µm","17.2",""
"2015","Cyprus","Particulates < 10µm","34.9",""
"2015","Latvia","Particulates < 2.5µm","15.9",""
"2015","Latvia","Particulates < 10µm","19.9",""
"2015","Lithuania","Particulates < 2.5µm","10.9",""
"2015","Lithuania","Particulates < 10µm","21.7",""
"2015","Luxembourg","Particulates < 2.5µm","11.7",""
"2015","Luxembourg","Particulates < 10µm","21.4",""
"2015","Hungary","Particulates < 2.5µm",":",""
"2015","Hungary","Particulates < 10µm","26.9",""
"2015","Malta","Particulates < 2.5µm",":",""
"2015","Malta","Particulates < 10µm",":",""
"2015","Netherlands","Particulates < 2.5µm","12.7",""
"2015","Netherlands","Particulates < 10µm","19.7",""
"2015","Austria","Particulates < 2.5µm","14.5",""
"2015","Austria","Particulates < 10µm","20.8",""
"2015","Poland","Particulates < 2.5µm","23.8",""
"2015","Poland","Particulates < 10µm","33",""
"2015","Portugal","Particulates < 2.5µm","10.3",""
"2015","Portugal","Particulates < 10µm","20.1",""
"2015","Romania","Particulates < 2.5µm","17.1",""
"2015","Romania","Particulates < 10µm","27.7",""
"2015","Slovenia","Particulates < 2.5µm","21.6",""
"2015","Slovenia","Particulates < 10µm","27.7",""
"2015","Slovakia","Particulates < 2.5µm","19",""
"2015","Slovakia","Particulates < 10µm","23.9",""
"2015","Finland","Particulates < 2.5µm","6",""
"2015","Finland","Particulates < 10µm","11.3",""
"2015","Sweden","Particulates < 2.5µm","6.1",""
"2015","Sweden","Particulates < 10µm","12.2",""
"2015","Iceland","Particulates < 2.5µm","7.4",""
"2015","Iceland","Particulates < 10µm","10.8",""
"2015","Norway","Particulates < 2.5µm","7.6",""
"2015","Norway","Particulates < 10µm","13.9",""
"2015","Switzerland","Particulates < 2.5µm","11.3",""
"2015","Switzerland","Particulates < 10µm","17.4",""
"2015","United Kingdom","Particulates < 2.5µm","10",""
"2015","United Kingdom","Particulates < 10µm","17.2",""
"2016","Belgium","Particulates < 2.5µm","13.3",""
"2016","Belgium","Particulates < 10µm","20.9",""
"2016","Bulgaria","Particulates < 2.5µm","20.2",""
"2016","Bulgaria","Particulates < 10µm","36.8",""
"2016","Czechia","Particulates < 2.5µm","18.1",""
"2016","Czechia","Particulates < 10µm","22.6",""
"2016","Denmark","Particulates < 2.5µm","10",""
"2016","Denmark","Particulates < 10µm","15.1",""
"2016","Germany (until 1990 former territory of the FRG)","Particulates < 2.5µm","12.9",""
"2016","Germany (until 1990 former territory of the FRG)","Particulates < 10µm","17.8",""
"2016","Estonia","Particulates < 2.5µm","5.4",""
"2016","Estonia","Particulates < 10µm","12.3",""
"2016","Ireland","Particulates < 2.5µm","8.9",""
"2016","Ireland","Particulates < 10µm","12.5",""
"2016","Greece","Particulates < 2.5µm","14.7",""
"2016","Greece","Particulates < 10µm","29",""
"2016","Spain","Particulates < 2.5µm","11.3",""
"2016","Spain","Particulates < 10µm","20.7",""
"2016","France","Particulates < 2.5µm","12.7",""
"2016","France","Particulates < 10µm","19.2",""
"2016","Croatia","Particulates < 2.5µm","20.6",""
"2016","Croatia","Particulates < 10µm","34.7",""
"2016","Italy","Particulates < 2.5µm","19.3",""
"2016","Italy","Particulates < 10µm","27.5",""
"2016","Cyprus","Particulates < 2.5µm","14.7",""
"2016","Cyprus","Particulates < 10µm","27.2",""
"2016","Latvia","Particulates < 2.5µm","15.4",""
"2016","Latvia","Particulates < 10µm","19",""
"2016","Lithuania","Particulates < 2.5µm","9.3",""
